251,MICHELLE WILSON,64 7th Street 45030,8846383319
253,CORY COX,35 Pearl Street 28393,7394450172
255,DAWN MORGAN,156 3rd Street 70739,5912316159
257,RALPH HAYNES,433 Route 29 11227,9064337971
260,HEIDI LANE,425 3rd Street East 80624,4095156566
263,BRADLEY TUCKER,620 Valley View Road 80841,2760503669
264,ROBERT MELENDEZ,499 Cherry Lane 79260,3095663179
266,PAUL SCOTT,409 Howard Street 49942,2359233153
268,MARIA NEAL,701 Jefferson Court 16295,9132538701
271,DAVID COLE,932 Broad Street 17338,8762547920
273,CARLOS DAWSON,831 Beechwood Drive 85537,1994973044
274,WILLIAM ADAMS,660 Lincoln Street 69636,8569158185
275,VIRGINIA MORAN,699 Catherine Street 31564,1050520347
277,REBECCA BECK,611 Beechwood Drive 85537,7944698754
280,ALMA HERNANDEZ,405 Tanglewood Drive 57839,959609183
283,FREDERICK WALLACE,535 Windsor Drive 69200,6633003398
284,THEODORE RATLIFF,463 Amherst Street 29652,7267263364
286,VERNON CAMPBELL,561 Route 100 55548,1100904943
289,JUANITA REED,961 Washington Avenue 36441,2472066308
291,CHARLES COOPER,165 Grant Street 67932,7486680388
292,ROBERT HUBER,865 6th Street North 13538,5126824996
293,RONALD GREER,369 Myrtle Avenue 17594,1125332998
295,BETTY PADILLA,717 Church Road 78560,7493778783
298,ROBERT ORTIZ,928 Mulberry Lane 49462,7165694775
